,gender,ssc_percentage,ssc_board,hsc_percentage,hsc_board,hsc_subject,degree_percentage,undergrad_degree,work_experience,emp_test_percentage,specialisation,mba_percent,label
202,1,70.0,0,63.0,0,2,66.0,2,0,61.28,1,60.11,1
192,1,65.2,0,61.4,0,1,64.8,0,1,93.4,0,57.34,1
18,0,63.0,0,66.0,0,1,64.0,0,0,68.0,1,64.08,0
69,1,73.0,0,73.0,0,2,66.0,2,1,70.0,0,68.07,1
11,1,69.6,0,68.4,0,1,78.3,0,1,60.0,0,63.7,1
118,1,76.0,0,80.0,0,2,78.0,2,1,97.0,1,70.48,1
90,0,85.0,1,90.0,1,1,82.0,0,0,92.0,0,68.03,1
101,1,63.0,0,72.0,0,1,68.0,0,0,78.0,1,60.44,1
26,1,71.0,1,79.0,1,1,66.0,0,1,94.0,0,57.55,1
203,1,55.68,1,61.33,1,1,56.87,0,0,66.0,1,58.3,1
110,0,69.5,0,70.0,0,2,72.0,2,0,57.2,1,54.8,1
131,0,74.9,1,57.0,1,2,62.0,1,1,80.0,0,60.78,1
108,1,61.0,0,82.0,0,1,69.0,0,0,84.0,0,58.31,1
74,1,56.6,0,64.8,0,1,70.2,0,0,84.27,0,67.2,1
19,1,60.0,1,67.0,1,0,70.0,0,1,50.48,0,77.89,1
42,1,49.0,1,39.0,0,2,65.0,1,0,63.0,0,51.21,0
44,0,77.0,1,73.0,1,1,81.0,0,1,89.0,0,69.7,1
116,1,68.2,0,72.8,0,1,66.6,0,1,96.0,0,70.85,1
105,1,59.0,0,64.0,1,2,58.0,2,0,85.0,1,55.3,0
0,1,67.0,1,91.0,1,1,58.0,2,0,55.0,1,58.8,1
24,1,76.5,1,97.7,1,2,78.86,2,0,97.4,0,74.01,1
130,1,62.0,0,65.0,1,1,60.0,0,0,84.0,0,64.15,0
156,1,84.2,0,69.4,0,2,65.0,2,1,80.0,1,52.72,1
51,1,54.4,0,61.12,0,1,56.2,0,0,67.0,1,62.65,0
150,1,71.0,0,58.66,0,2,58.0,2,1,56.0,0,61.3,1
186,0,52.0,0,64.0,0,1,61.0,0,0,55.0,0,62.93,0
1,1,79.33,0,78.33,1,2,77.48,2,1,86.5,0,66.28,1
9,1,58.0,0,70.0,0,1,61.0,0,0,54.0,0,52.21,0
214,1,62.0,0,58.0,1,2,53.0,0,0,89.0,1,60.22,0
200,1,69.0,1,60.0,1,1,65.0,0,0,87.55,0,52.81,1
30,0,64.0,0,73.5,0,1,73.0,0,0,52.0,1,56.7,1
102,0,77.0,1,61.0,1,1,68.0,0,1,57.5,0,61.31,1
174,1,73.24,1,50.83,1,2,64.27,2,1,64.0,0,66.23,1
73,1,64.6,0,83.83,1,1,71.72,0,0,86.0,0,59.75,1
128,1,80.4,0,73.4,0,2,77.72,2,1,81.2,1,76.26,1
33,0,87.0,1,65.0,1,2,81.0,0,1,88.0,0,72.78,1
22,0,69.8,1,60.8,1,2,72.23,2,0,55.53,1,68.81,1
32,0,61.0,0,81.0,0,1,66.4,0,0,50.89,1,62.21,1
178,1,68.0,1,56.0,1,2,68.0,2,0,73.0,1,68.07,1
122,0,66.5,0,66.8,0,0,69.3,0,1,80.4,0,71.0,1
35,0,69.0,0,78.0,0,1,72.0,0,0,71.0,1,62.74,1
27,1,63.0,1,67.0,1,1,66.0,0,0,68.0,1,57.69,1
75,0,59.0,0,62.0,1,1,77.5,0,0,74.0,1,67.0,0
109,1,52.0,0,63.0,1,2,65.0,2,1,86.0,1,56.09,0
85,0,83.84,1,89.83,1,1,77.2,0,1,78.74,0,76.18,1
86,1,62.0,1,63.0,1,1,64.0,0,0,67.0,0,57.03,1
10,1,58.0,0,61.0,0,1,60.0,0,1,62.0,1,60.85,1
212,1,67.0,1,67.0,1,1,73.0,0,1,59.0,0,69.72,1
97,0,70.5,0,62.5,1,1,61.0,0,0,93.91,0,69.03,0
211,1,58.0,1,60.0,1,2,72.0,2,0,74.0,0,53.62,1
189,0,54.0,0,77.6,1,1,69.2,0,0,95.65,0,66.94,0
208,0,43.0,0,60.0,1,2,65.0,0,0,92.66,1,62.92,0
179,0,77.8,0,64.0,0,2,64.2,2,0,75.5,1,72.14,0
88,0,66.0,0,62.0,0,1,73.0,0,0,58.0,1,64.36,1
199,1,69.0,1,65.0,1,1,57.0,0,0,73.0,1,55.8,1
147,1,70.0,0,74.0,0,1,65.0,0,0,83.0,0,62.28,1
193,0,60.0,0,63.0,0,0,56.0,1,1,80.0,1,56.63,1
95,1,73.0,0,78.0,1,1,65.0,0,1,95.46,0,62.16,1
80,0,69.0,1,62.0,1,1,69.0,0,1,67.0,1,62.35,1
111,1,51.0,1,54.0,1,2,61.0,2,0,60.0,1,60.64,0
78,1,84.0,1,90.9,1,2,64.5,2,0,86.04,0,59.42,1
175,1,63.0,1,62.0,1,2,65.0,2,0,87.5,1,60.69,0
103,1,73.0,0,78.0,0,2,73.0,2,1,85.0,1,65.83,1
183,1,65.0,0,77.0,0,1,69.0,0,0,60.0,1,61.82,1
153,1,49.0,1,59.0,1,2,65.0,2,1,86.0,0,62.48,1
62,0,86.5,1,64.2,1,2,67.4,2,0,59.0,0,59.69,1
163,1,63.0,1,67.0,1,2,64.0,2,0,75.0,0,66.46,1
132,1,67.0,1,68.0,1,1,64.0,0,1,74.4,1,53.49,1
28,1,76.76,1,76.5,1,1,67.5,0,1,73.35,0,64.15,1
64,1,80.0,1,73.0,1,1,75.0,0,0,61.0,0,58.78,1
57,1,68.0,0,76.0,0,1,74.0,0,0,80.0,0,63.59,1
171,1,80.0,1,80.0,1,1,72.0,0,1,63.79,0,66.04,1
180,1,65.0,0,71.5,1,1,62.8,0,1,57.0,0,56.6,1
34,1,62.0,1,51.0,1,2,52.0,1,0,68.44,1,62.77,0
125,0,84.0,0,73.0,0,1,73.0,0,0,75.0,0,73.33,1
119,1,60.8,0,68.4,0,1,64.6,0,1,82.66,0,64.34,1
41,0,74.0,1,63.16,1,1,65.0,0,1,65.0,1,69.76,0
121,0,64.0,0,67.0,1,2,69.6,2,1,55.67,1,71.49,1
112,1,58.0,1,61.0,1,1,61.0,0,0,58.0,1,53.94,1
71,1,75.0,1,70.29,1,1,71.0,0,0,95.0,0,66.94,1
43,1,87.0,1,87.0,1,1,68.0,0,0,95.0,1,62.9,1
25,0,52.58,1,54.6,0,1,50.2,0,1,76.0,0,65.33,0
47,1,63.0,0,60.0,0,1,57.0,0,1,78.0,0,54.55,1
139,1,77.0,0,70.0,0,1,59.0,0,1,58.0,0,54.43,1
136,0,47.0,0,59.0,0,0,64.0,0,0,78.0,0,61.58,0
190,0,64.0,1,70.2,0,1,61.0,0,0,50.0,0,62.5,0
151,1,65.0,0,65.0,0,1,75.0,0,0,83.0,0,58.87,1
141,1,66.0,0,64.0,0,2,60.0,0,0,60.0,1,61.9,0
159,1,52.0,0,49.0,1,1,58.0,0,0,62.0,1,60.59,0
56,1,63.0,1,71.4,1,1,61.4,0,0,68.0,0,66.88,1
172,1,73.0,1,58.0,1,1,56.0,0,0,84.0,1,52.64,1
113,0,73.96,1,79.0,1,1,67.0,0,0,72.15,0,63.08,1
149,1,44.0,0,58.0,0,0,55.0,0,1,64.25,1,58.54,0
194,1,52.0,1,55.0,1,1,56.3,0,0,59.0,0,64.74,0
12,0,47.0,0,55.0,1,2,65.0,0,0,62.0,1,65.04,0
54,0,74.0,0,60.0,1,2,69.0,0,0,78.0,1,65.56,1
106,1,61.08,1,50.0,1,2,54.0,2,0,71.0,0,65.69,0
98,0,69.0,0,73.0,0,1,65.0,0,0,70.0,0,57.31,1
207,1,83.33,0,78.0,1,1,61.0,0,1,88.56,0,71.55,1
14,1,62.0,0,47.0,0,1,50.0,0,0,76.0,1,54.96,0
49,0,50.0,1,37.0,1,0,52.0,1,0,65.0,1,56.11,0
39,1,81.0,1,68.0,1,2,64.0,2,0,93.0,0,62.56,1
158,1,67.0,1,63.0,1,2,64.0,2,0,60.0,0,61.87,0
164,0,67.16,0,72.5,0,1,63.35,0,0,53.04,0,65.52,1
185,0,88.0,0,72.0,0,2,78.0,1,0,82.0,1,71.43,1
50,0,75.2,0,73.2,0,2,68.4,0,0,65.0,1,62.98,1
135,0,72.0,0,56.0,1,2,69.0,0,0,55.6,1,65.63,1
3,1,56.0,0,52.0,0,2,52.0,2,0,66.0,1,59.43,0
5,1,55.0,1,49.8,1,2,67.25,2,1,55.0,0,51.58,0
37,0,79.0,0,76.0,0,2,65.6,2,0,58.0,1,55.47,1
191,1,67.0,1,61.0,0,2,72.0,0,0,72.0,0,61.01,1
91,1,52.0,0,57.0,0,1,50.8,0,0,67.0,1,62.79,0
205,1,61.0,1,62.0,1,1,65.0,0,0,62.0,0,56.81,1
66,1,83.0,1,74.0,1,2,66.0,0,0,68.92,1,58.46,1
16,1,63.0,0,66.2,0,1,65.6,0,1,60.0,0,62.54,1
137,1,67.0,1,63.0,0,1,72.0,0,0,56.0,1,60.41,1
99,1,54.0,0,82.0,1,1,63.0,2,0,50.0,0,59.47,0
138,0,82.0,1,64.0,1,2,73.0,2,1,96.0,0,71.77,1
94,1,58.0,0,62.0,0,1,64.0,0,0,53.88,0,54.97,1
63,1,61.0,1,70.0,1,1,64.0,0,0,68.5,1,59.5,0
213,0,74.0,1,66.0,1,1,58.0,0,0,70.0,1,60.23,1
20,1,62.0,1,65.0,1,1,66.0,0,0,50.0,1,56.7,1
198,0,67.0,0,70.0,0,1,65.0,1,0,88.0,1,71.96,0
181,1,62.0,0,60.33,1,2,64.21,2,0,63.0,1,60.02,0
196,1,72.0,1,63.0,1,2,77.5,2,1,78.0,0,54.48,1
77,1,64.0,1,80.0,1,2,65.0,2,1,69.0,0,57.65,1
120,1,58.0,1,40.0,1,2,59.0,0,0,73.0,1,58.81,0
167,1,67.9,1,62.0,1,2,67.0,2,1,58.1,0,75.71,0
31,0,67.0,0,53.0,0,2,65.0,2,0,64.0,1,58.32,0
58,1,74.0,0,62.0,1,2,68.0,0,0,74.0,0,57.99,1
60,1,74.0,0,70.0,0,2,72.0,0,1,60.0,0,57.24,1
4,1,85.8,0,73.6,0,1,73.3,0,0,96.8,0,55.5,1
187,1,78.5,0,65.5,0,2,67.0,2,1,95.0,0,64.86,1
61,1,84.2,0,73.4,0,1,66.89,0,0,61.6,0,62.48,1
40,0,78.0,0,77.0,1,1,80.0,0,0,60.0,0,66.72,1
72,1,84.86,1,67.0,1,2,78.0,0,0,95.5,0,68.53,1
79,0,69.0,0,62.0,0,2,66.0,2,0,75.0,1,67.99,0
92,0,60.23,0,69.0,0,2,66.0,0,0,72.0,0,59.47,1
143,1,77.67,1,64.89,1,1,70.67,0,0,89.0,0,60.39,1
100,0,45.0,1,57.0,1,1,58.0,0,1,56.39,1,64.95,0
161,1,55.6,1,51.0,1,1,57.5,0,0,57.63,1,62.72,0
59,1,52.6,0,65.58,1,2,72.11,2,0,57.6,0,56.66,1
134,0,77.44,0,92.0,1,1,72.0,0,1,94.0,0,67.13,1
154,1,53.0,0,63.0,1,2,60.0,0,1,70.0,0,53.2,1
82,1,63.0,0,67.0,0,1,74.0,0,0,82.0,0,60.44,0
209,1,62.0,0,72.0,0,1,65.0,0,0,67.0,0,56.49,1
36,1,51.0,0,44.0,0,1,57.0,0,0,64.0,0,51.45,0
146,1,62.0,0,63.0,1,2,66.0,0,0,85.0,1,55.14,1
177,0,73.0,0,97.0,1,1,79.0,0,1,89.0,0,70.81,1
124,1,67.0,0,71.0,0,2,64.33,1,1,64.0,1,61.26,1
126,0,79.0,1,61.0,1,2,75.5,2,1,70.0,0,68.2,1
133,1,73.0,0,64.0,1,1,77.0,0,1,65.0,1,60.98,1
197,0,83.96,1,53.0,1,2,91.0,2,0,59.32,1,69.71,1
140,1,65.0,0,64.8,1,1,69.5,0,1,56.0,0,56.94,1
114,1,65.0,0,68.0,1,2,69.0,0,0,53.7,1,55.01,1
182,1,52.0,1,65.0,1,0,57.0,1,1,75.0,0,59.81,0
168,0,48.0,0,51.0,0,1,58.0,0,1,60.0,1,58.79,0
173,0,52.0,1,52.0,1,2,55.0,2,0,67.0,1,59.32,0
170,0,63.4,1,67.2,1,1,60.0,0,0,58.06,1,69.28,0
